//粤联频道数据收集自网络上的分享260215开通IPV6
新闻HU22,#genre#

凤凰中文,http://223.95.198.3:8000/hls/20/index.m3u8$宁波移
凤凰中文,http://219.146.65.78:59902/tsfile/live/0117_2.m3u8$青岛信
凤凰资讯,http://183.236.161.115:8960/live1171.m3u8$阳江移

凤凰资讯,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd

凤凰中文,http://115.44.140.170:18180/TV00000000000000000008@HHZT$天威hh
凤凰资讯,http://115.44.140.170:18180/TV00000000000000000009@HHZT$天威hh
凤凰香港,http://115.44.140.170:18180/TV00000000000000000024@HHZT$天威hh

凤凰中文,http://156.238.251.122/fh.php?id=fhzw$fh
凤凰资讯,http://156.238.251.122/fh.php?id=fhzx$fh
凤凰香港,http://156.238.251.122/fh.php?id=fhhk$fh

凤凰中文,http://223.144.220.183:3000/udp/239.76.253.135:9000$湖南信
凤凰资讯,http://223.144.220.183:3000/udp/239.76.253.134:9000$湖南信

凤凰中文,http://k.061899.xyz/k.php?id=fhzw$腾讯云
凤凰资讯,http://k.061899.xyz/k.php?id=fhzx$腾讯云
凤凰香港,http://k.061899.xyz/k.php?id=fhhk$腾讯云

凤凰中文,http://cdn6.bkpcp.top/tl/tuiliu.php?id=fhzw$cdn6
凤凰资讯,http://cdn6.bkpcp.top/tl/tuiliu.php?id=fhzx$cdn6
凤凰香港,http://cdn6.bkpcp.top/tl/tuiliu.php?id=fhhk$cdn6

凤凰中文,http://183.239.108.37:1698/hls/96/index.m3u8$汕头移
凤凰资讯,http://183.239.108.37:1698/hls/95/index.m3u8$汕头移
凤凰香港,http://183.239.108.37:1698/hls/97/index.m3u8$汕头移

凤凰中文,http://zmgd.zyrnet.com:8888/hls/110/index.m3u8$中牟移
凤凰资讯,http://zmgd.zyrnet.com:8888/hls/109/index.m3u8$中牟移

凤凰中文,http://218.15.183.23:9901/tsfile/live/23037_1.m3u8$梅州信

凤凰中文,http://111.221.137.234:44330/tsfile/live/0141_2.m3u8$天威11

凤凰中文,http://218.206.193.218:8888/hls/67/index.m3u8$郑州移
凤凰资讯,http://218.206.193.218:8888/hls/66/index.m3u8$郑州移

凤凰中文,http://183.237.95.108:9901/tsfile/live/1103_1.m3u8$梅州移
凤凰香港,http://139.196.228.200:5678/公众号搞机大师/fhx.php?id=hk

凤凰中文,http://go.bkpcp.top/mg/fhzw$go
凤凰资讯,http://go.bkpcp.top/mg/fhzx$go
凤凰香港,http://go.bkpcp.top/mg/fhhk$go

凤凰中文,http://m.061899.xyz/mg/fhzw$mg
凤凰资讯,http://m.061899.xyz/mg/fhzx$mg
凤凰香港,http://m.061899.xyz/mg/fhhk$mg

凤凰中文,http://218.104.239.114:9901/tsfile/live/1013_1.m3u8$福州联
凤凰资讯,http://218.104.239.114:9901/tsfile/live/1012_1.m3u8$福州联

凤凰中文,http://t.061899.xyz/tl/js/js.php?id=fhwszwt$0618
凤凰资讯,http://t.061899.xyz/tl/js/js.php?id=fhwszxt$0618
凤凰香港,http://t.061899.xyz/tl/js/js.php?id=fhwsxgt$0618

凤凰中文,http://j.s.bkpcp.top/js/fhzw$js
凤凰资讯,http://j.s.bkpcp.top/js/fhzx$js
凤凰香港,http://j.s.bkpcp.top/js/fhxg$js

凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27$iptv

凤凰中文,http://pull-vivek.speedws.com/live/aaafhzw.flv$多伦多
凤凰香港,http://pull-vivek.speedws.com/live/aaafhxg.flv$多伦多

凤凰中文,http://pull-vivek.speedws.com/live/aaafhzw.flv$pull
凤凰资讯,http://pull-vivek.speedws.com/live/aaafhzx.flv$pull
凤凰香港,http://pull-vivek.speedws.com/live/aaafhxg.flv$pull

香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8$web

CCTV4,http://218.17.33.178:53290/tsfile/live/1004_1.m3u8$深圳信
CCTV13,http://218.17.33.178:53290/tsfile/live/1013_1.m3u8$深圳信

CCTV4,http://60.13.52.236:65500/newlive/live/hls/4/live.m3u8$兰州联
CCTV13,http://60.13.52.236:65500/newlive/live/hls/13/live.m3u8$兰州联
CCTV13,http://60.13.52.236:65500/newlive/live/hls/16/live.m3u8$兰州联

CCTV4,http://yjj888.f3322.net:9901/tsfile/live/0004_1.m3u8$安阳联
CCTV13,http://yjj888.f3322.net:9901/tsfile/live/0013_2.m3u8$安阳联

CCTV4,http://39.104.69.92:3566/631780421$呼云
CCTV13,http://39.104.69.92:3566/608807423$呼云

CCTV4,http://fuxin.yunjifei.top:999/tsfile/live/0004_1.m3u8$阜新信
CCTV13,http://fuxin.yunjifei.top:999/tsfile/live/0013_1.m3u8$阜新信

CCTV4,http://223.95.198.3:8000/hls/4/index.m3u8$宁波移
CCTV13,http://223.95.198.3:8000/hls/13/index.m3u8$宁波移

CCTV4,http://223.75.149.129:9906/tsfile/live/0004_1.m3u8$神农移
CCTV13,http://223.75.149.129:9906/tsfile/live/0013_1.m3u8$神农移

CCTV4,http://116.76.254.170:44330/tsfile/live/0004_1.m3u8$天威16
CCTV13,http://116.76.254.170:44330/tsfile/live/0013_1.m3u8$天威16

CCTV4,http://113.25.252.226:9901/tsfile/live/1008_1.m3u8$晋中信
CCTV13,http://113.25.252.226:9901/tsfile/live/1017_1.m3u8$晋中信

CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4$cdn6
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13$cdn6

CCTV4,http://36.136.38.87:9901/tsfile/live/0004_1.m3u8$南宁移
CCTV13,http://36.136.38.87:9901/tsfile/live/0013_1.m3u8$南宁移

CCTV4,http://hmfs.f3322.net:3388/hls/30/index.m3u8$茂名信
CCTV13,http://hmfs.f3322.net:3388/hls/8/index.m3u8$茂名信

CCTV4,https://live.iill.top/douyin/166806983360$live
CCTV13,https://live.iill.top/douyin/339638082961$live

CCTV4,http://go.bkpcp.top/mg/cctv4$go
CCTV13,http://go.bkpcp.top/mg/cctv13$go

CCTV4,http://m.061899.xyz/mg/cctv4$mg
CCTV13,http://m.061899.xyz/mg/cctv13$mg

翡翠台,http://116.76.254.170:44330/tsfile/live/1008_1.m3u8$天威16
明珠台,http://116.76.254.170:44330/tsfile/live/1009_1.m3u8$天威16

翡翠台,http://iptv.4666888.xyz/iptv2A.php?id=28$iptv
明珠台,http://iptv.4666888.xyz/iptv2A.php?id=29$iptv

无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn
无线新闻,http://74.91.26.218:82/live/inews.m3u8

翡翠台,http://115.44.140.170:18180/TV00000000000000000032@HHZT$天威hh
明珠台,http://115.44.140.170:18180/TV00000000000000000035@HHZT$天威hh
RHK32,http://115.44.140.170:18180/TV00000000000000000017@HHZT$天威hh
RHK31,http://115.44.140.170:18180/TV00000000000000000019@HHZT$天威hh
RHK35,http://115.44.140.170:18180/TV00000000000000000045@HHZT$天威hh
HOY78,http://115.44.140.170:18180/TV00000000000000000088@HHZT$天威hh
无线新闻,http://115.44.140.170:18180/TV00000000000000000034@HHZT$天威hh

环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8$官网
每日经济,http://swiftplay.hxkjmedia.com/tv/spbW.m3u8

